sample_id,split,recalculated_score,risk_score,risk_percentile,diff
74afc50a320eba4f3ccc,train,0.6091197144408445,0.60912,56.4,2.855591555439574e-07
7c6ec02d0fd7d22b1321,train,0.49256022605289623,0.49256,7.6,2.2605289623500724e-07
79c56a82a2b2f8a71eaa,train,0.6077695247861009,0.60777,53.2,4.752138991204191e-07
ba2a4b345cc8e8e92dbf,train,0.22957876773087382,0.229579,3.2,2.3226912618246054e-07
bd0d4c0a8915e5b43c12,train,0.5356626400542556,0.535663,55.8,3.599457444325438e-07
a72a0a268736cc742db5,train,0.22006035857216194,0.22006,3.7,3.5857216193480035e-07
23a4822bc38d89410030,validation,0.35543902932767485,0.355439,8.8,2.9327674844203955e-08
0843ea63bd92455548c2,train,0.5356626400542556,0.535663,56.0,3.599457444325438e-07
1ea35ac4a49f58590b2b,train,0.6054677136143556,0.605468,52.7,2.863856444212942e-07
b81ff6b13c231ab345d4,train,0.6077695247861009,0.60777,53.2,4.752138991204191e-07
01c8166c2ec0e1731b8a,validation,0.5356626400542556,0.535663,54.7,3.599457444325438e-07
cbcdb7703e9ae1f030e7,train,0.6077695247861009,0.60777,58.2,4.752138991204191e-07
d8cf2ef4bbbe5bc40f06,train,0.6091197144408445,0.60912,59.9,2.855591555439574e-07
dd973c3740ff322e22cb,train,0.6054677136143556,0.605468,52.7,2.863856444212942e-07
8096e1fabbea97905f6a,train,0.6091197144408445,0.60912,56.8,2.855591555439574e-07
828166c8f1f663393742,train,0.6054677136143556,0.605468,55.2,2.863856444212942e-07
ba8f79befa570c7750ce,train,0.6944514805334036,0.694451,98.5,4.805334035129505e-07
8fae202680d921c0b5e0,train,0.6091197144408445,0.60912,59.9,2.855591555439574e-07
e3f287c567e32cb5171a,train,0.6091197144408445,0.60912,56.6,2.855591555439574e-07
7e0193c7979810f71e3d,train,0.5356626400542556,0.535663,56.7,3.599457444325438e-07
ced68937a02717557906,train,0.6091197144408445,0.60912,56.6,2.855591555439574e-07
11d634dccc538b58a51e,train,0.16817028066156564,0.16817,0.7,2.8066156565476064e-07
03aaea809f56798066a6,train,0.6091197144408445,0.60912,56.6,2.855591555439574e-07
7e4a315087b77c7ce196,train,0.6091197144408445,0.60912,56.6,2.855591555439574e-07
75159dbcc1faa8e3d1c0,train,0.6054677136143556,0.605468,55.2,2.863856444212942e-07
92e21e1bebf53a196696,train,0.809384258559776,0.809384,95.6,2.585597760340619e-07
974ed5f4ed57c2d4cfff,train,0.6091197144408445,0.60912,56.6,2.855591555439574e-07
9945f7d781772ff2135a,train,0.5359756333997485,0.535976,93.8,3.666002514890465e-07
0e5a350c7cbada1f81cd,train,0.5356626400542556,0.535663,53.7,3.599457444325438e-07
f56996c114a9c37ad17f,train,0.5356626400542556,0.535663,55.8,3.599457444325438e-07
fcceba942722056bde1f,train,0.6077695247861009,0.60777,55.6,4.752138991204191e-07
9eb0426ff83ccf16608a,train,0.6091197144408445,0.60912,56.6,2.855591555439574e-07
51376f5ca7e7735d8272,train,0.6054677136143556,0.605468,59.9,2.863856444212942e-07
8e6dddf502fb2972c959,train,0.5356626400542556,0.535663,53.6,3.599457444325438e-07
61cc6d56e7ba0672ebe5,train,0.6077695247861009,0.60777,58.2,4.752138991204191e-07
20aeec548d524cf8b693,train,0.6077695247861009,0.60777,53.2,4.752138991204191e-07
1a32348fcc211920732c,train,0.6091197144408445,0.60912,56.8,2.855591555439574e-07
fc00bf61a82134375bbe,train,0.5356626400542556,0.535663,56.9,3.599457444325438e-07
02057a1677846697f851,train,0.6077695247861009,0.60777,54.6,4.752138991204191e-07
d1bf7918b47c0c39c735,train,0.6077695247861009,0.60777,57.4,4.752138991204191e-07
83377280bf361ddc4e8d,train,0.6077695247861009,0.60777,53.2,4.752138991204191e-07
659f7dccf2e01e1cf223,train,0.6077695247861009,0.60777,55.7,4.752138991204191e-07
f67646c1173e7b48d04f,train,0.6091197144408445,0.60912,56.8,2.855591555439574e-07
