standard_number,document_id,section,chunk_id
1910.137,OSHA-1910.137,1910.137(c)(2),chunk_00318
1910.137,OSHA-1910.137,1910.137(c)(2)(i),chunk_00319
1910.137,OSHA-1910.137,1910.137(c)(2)(ii),chunk_00320
1910.137,OSHA-1910.137,1910.137(c)(2)(iii),chunk_00321
1910.137,OSHA-1910.137,1910.137(c)(2)(iii)(A),chunk_00322
1910.137,OSHA-1910.137,1910.137(c)(2)(iii)(B),chunk_00323
1910.137,OSHA-1910.137,1910.137(c)(2)(iii)(C),chunk_00324
1910.137,OSHA-1910.137,1910.137(c)(2)(iii)(D),chunk_00325
1910.137,OSHA-1910.137,1910.137(c)(2)(iii)(E),chunk_00326
1910.137,OSHA-1910.137,1910.137(c)(2)(iv),chunk_00327
1910.137,OSHA-1910.137,1910.137(c)(2)(v),chunk_00328
1910.137,OSHA-1910.137,1910.137(c)(2)(vi),chunk_00329
1910.137,OSHA-1910.137,1910.137(c)(2)(vii),chunk_00330
1910.137,OSHA-1910.137,1910.137(c)(2)(vii)(A),chunk_00331
1910.137,OSHA-1910.137,1910.137(c)(2)(vii)(B),chunk_00332
1910.137,OSHA-1910.137,1910.137(c)(2)(vii)(C),chunk_00333
1910.137,OSHA-1910.137,1910.137(c)(2)(vii)(D),chunk_00334
1910.137,OSHA-1910.137,1910.137(c)(2)(viii),chunk_00335
1910.137,OSHA-1910.137,1910.137(c)(2)(ix),chunk_00336
1910.137,OSHA-1910.137,1910.137(c)(2)(x),chunk_00337
1910.137,OSHA-1910.137,1910.137(c)(2)(x)(A),chunk_00338
1910.137,OSHA-1910.137,1910.137(c)(2)(x)(B),chunk_00339
1910.137,OSHA-1910.137,1910.137(c)(2)(x)(C),chunk_00340
1910.137,OSHA-1910.137,1910.137(c)(2)(x)(D),chunk_00341
1910.137,OSHA-1910.137,1910.137(c)(2)(xi),chunk_00342
1910.137,OSHA-1910.137,1910.137(c)(2)(xii),chunk_00343
1910.138,OSHA-1910.138,1910.138,chunk_00344
1910.138,OSHA-1910.138,1910.138(a),chunk_00345
1910.138,OSHA-1910.138,1910.138(b),chunk_00346
1910.147,OSHA-1910.147,1910.147,chunk_00347
1910.147,OSHA-1910.147,1910.147(a),chunk_00348
1910.147,OSHA-1910.147,1910.147(a)(1),chunk_00349
1910.147,OSHA-1910.147,1910.147(a)(1)(i),chunk_00350
1910.147,OSHA-1910.147,1910.147(a)(1)(ii),chunk_00351
1910.147,OSHA-1910.147,1910.147(a)(1)(ii)(A),chunk_00352
1910.147,OSHA-1910.147,1910.147(a)(1)(ii)(B),chunk_00353
1910.147,OSHA-1910.147,1910.147(a)(1)(ii)(C),chunk_00354
1910.147,OSHA-1910.147,1910.147(a)(1)(ii)(D),chunk_00355
1910.147,OSHA-1910.147,1910.147(a)(1)(ii)(E),chunk_00356
1910.147,OSHA-1910.147,1910.147(a)(2),chunk_00357
1910.147,OSHA-1910.147,1910.147(a)(2)(i),chunk_00358
1910.147,OSHA-1910.147,1910.147(a)(2)(ii),chunk_00359
1910.147,OSHA-1910.147,1910.147(a)(2)(ii)(A),chunk_00360
1910.147,OSHA-1910.147,1910.147(a)(2)(ii)(B),chunk_00361
1910.147,OSHA-1910.147,1910.147(a)(2)(iii),chunk_00362
1910.147,OSHA-1910.147,1910.147(a)(2)(iii)(A),chunk_00363
1910.147,OSHA-1910.147,1910.147(a)(2)(iii)(B),chunk_00364
1910.147,OSHA-1910.147,1910.147(a)(2)(iii)(B),chunk_00365
1910.147,OSHA-1910.147,1910.147(a)(2)(iii)(B),chunk_00366
1910.147,OSHA-1910.147,1910.147(a)(2)(iii)(B),chunk_00367
1910.147,OSHA-1910.147,1910.147(a)(3),chunk_00368
1910.147,OSHA-1910.147,1910.147(a)(3)(i),chunk_00369
1910.147,OSHA-1910.147,1910.147(a)(3)(ii),chunk_00370
1910.147,OSHA-1910.147,1910.147(b),chunk_00371
1910.147,OSHA-1910.147,1910.147(c),chunk_00372
1910.147,OSHA-1910.147,1910.147(c)(1),chunk_00373
1910.147,OSHA-1910.147,1910.147(c)(2),chunk_00374
1910.147,OSHA-1910.147,1910.147(c)(2)(i),chunk_00375
1910.147,OSHA-1910.147,1910.147(c)(2)(ii),chunk_00376
1910.147,OSHA-1910.147,1910.147(c)(2)(iii),chunk_00377
1910.147,OSHA-1910.147,1910.147(c)(3),chunk_00378
1910.147,OSHA-1910.147,1910.147(c)(3)(i),chunk_00379
1910.147,OSHA-1910.147,1910.147(c)(3)(ii),chunk_00380
1910.147,OSHA-1910.147,1910.147(c)(4),chunk_00381
1910.147,OSHA-1910.147,1910.147(c)(4)(i),chunk_00382
1910.147,OSHA-1910.147,1910.147(c)(4)(ii),chunk_00383
1910.147,OSHA-1910.147,1910.147(c)(4)(ii)(A),chunk_00384
1910.147,OSHA-1910.147,1910.147(c)(4)(ii)(B),chunk_00385
1910.147,OSHA-1910.147,1910.147(c)(4)(ii)(C),chunk_00386
1910.147,OSHA-1910.147,1910.147(c)(4)(ii)(D),chunk_00387
1910.147,OSHA-1910.147,1910.147(c)(5),chunk_00388
1910.147,OSHA-1910.147,1910.147(c)(5)(i),chunk_00389
1910.147,OSHA-1910.147,1910.147(c)(5)(ii),chunk_00390
1910.147,OSHA-1910.147,1910.147(c)(5)(ii)(A),chunk_00391
1910.147,OSHA-1910.147,1910.147(c)(5)(ii)(A),chunk_00392
1910.147,OSHA-1910.147,1910.147(c)(5)(ii)(A),chunk_00393
1910.147,OSHA-1910.147,1910.147(c)(5)(ii)(A),chunk_00394
1910.147,OSHA-1910.147,1910.147(c)(5)(ii)(B),chunk_00395
1910.147,OSHA-1910.147,1910.147(c)(5)(ii)(C),chunk_00396
1910.147,OSHA-1910.147,1910.147(c)(5)(ii)(C),chunk_00397
1910.147,OSHA-1910.147,1910.147(c)(5)(ii)(C),chunk_00398
1910.147,OSHA-1910.147,1910.147(c)(5)(ii)(D),chunk_00399
1910.147,OSHA-1910.147,1910.147(c)(5)(iii),chunk_00400
