standard_code,standard_normalized,r_category,r_category_name,basis
19100269 D06 VII,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D07 I,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D07 III,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D07 IV,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D08    VA,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D08   II,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D08   IIA,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D08   IIB,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D08   IIC,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D08   IID,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D08   IV,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D08 I,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D08 I B,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D08 I E,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D08 II,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D08 II B,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D08 II C,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D08 II D,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D08 III,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D08 IV,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D08 V A,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 D08 V B,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 E01,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 E02,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 E03,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
19100269 E04,1910.0269,R1,电气危险与带电防护,1910.269 电力发电输配Subpart R
