unique_key,stage,split,quarter,method_or_comparison,metric,value,source_file,source_row,source_column,source_sha256
data_flow|all|all|Inspection原始行|n|样本排除流.csv|2,data_flow,all,all,Inspection原始行,n,1365781,结果/01_数据审计/样本排除流.csv,2,n,41ad639b115e106b8a4ebdbaae95f5d7d6d6b83c33c932ee22ce2be3141fc2a9
split_audit|test|2025Q3|all|immature_open_case|时间切分审计.csv|11,split_audit,test,2025Q3,all,immature_open_case,2,结果/01_数据审计/时间切分审计.csv,11,immature_open_case,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|test|2025Q3|all|immature_other|时间切分审计.csv|11,split_audit,test,2025Q3,all,immature_other,0,结果/01_数据审计/时间切分审计.csv,11,immature_other,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|test|2025Q3|all|mature_total|时间切分审计.csv|11,split_audit,test,2025Q3,all,mature_total,137,结果/01_数据审计/时间切分审计.csv,11,mature_total,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|test|2025Q3|all|mature_rate|时间切分审计.csv|11,split_audit,test,2025Q3,all,mature_rate,0.9856115107913668,结果/01_数据审计/时间切分审计.csv,11,mature_rate,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|test|2025Q3|all|n|时间切分审计.csv|11,split_audit,test,2025Q3,all,n,137,结果/01_数据审计/时间切分审计.csv,11,n,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|test|2025Q4|all|candidate_total|时间切分审计.csv|12,split_audit,test,2025Q4,all,candidate_total,105,结果/01_数据审计/时间切分审计.csv,12,candidate_total,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|test|2025Q4|all|immature_open_case|时间切分审计.csv|12,split_audit,test,2025Q4,all,immature_open_case,2,结果/01_数据审计/时间切分审计.csv,12,immature_open_case,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|test|2025Q4|all|immature_other|时间切分审计.csv|12,split_audit,test,2025Q4,all,immature_other,0,结果/01_数据审计/时间切分审计.csv,12,immature_other,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|test|2025Q4|all|mature_total|时间切分审计.csv|12,split_audit,test,2025Q4,all,mature_total,103,结果/01_数据审计/时间切分审计.csv,12,mature_total,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|test|2025Q4|all|mature_rate|时间切分审计.csv|12,split_audit,test,2025Q4,all,mature_rate,0.9809523809523808,结果/01_数据审计/时间切分审计.csv,12,mature_rate,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|test|2025Q4|all|n|时间切分审计.csv|12,split_audit,test,2025Q4,all,n,103,结果/01_数据审计/时间切分审计.csv,12,n,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|train|2015Q1|all|candidate_total|时间切分审计.csv|13,split_audit,train,2015Q1,all,candidate_total,226,结果/01_数据审计/时间切分审计.csv,13,candidate_total,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|train|2015Q1|all|mature_positive|时间切分审计.csv|13,split_audit,train,2015Q1,all,mature_positive,118.0,结果/01_数据审计/时间切分审计.csv,13,mature_positive,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|train|2015Q1|all|mature_negative|时间切分审计.csv|13,split_audit,train,2015Q1,all,mature_negative,108.0,结果/01_数据审计/时间切分审计.csv,13,mature_negative,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|train|2015Q1|all|immature_open_case|时间切分审计.csv|13,split_audit,train,2015Q1,all,immature_open_case,0,结果/01_数据审计/时间切分审计.csv,13,immature_open_case,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|train|2015Q1|all|immature_other|时间切分审计.csv|13,split_audit,train,2015Q1,all,immature_other,0,结果/01_数据审计/时间切分审计.csv,13,immature_other,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|train|2015Q1|all|mature_total|时间切分审计.csv|13,split_audit,train,2015Q1,all,mature_total,226,结果/01_数据审计/时间切分审计.csv,13,mature_total,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|train|2015Q1|all|mature_rate|时间切分审计.csv|13,split_audit,train,2015Q1,all,mature_rate,1.0,结果/01_数据审计/时间切分审计.csv,13,mature_rate,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|train|2015Q1|all|n|时间切分审计.csv|13,split_audit,train,2015Q1,all,n,226,结果/01_数据审计/时间切分审计.csv,13,n,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|train|2015Q1|all|positives|时间切分审计.csv|13,split_audit,train,2015Q1,all,positives,118.0,结果/01_数据审计/时间切分审计.csv,13,positives,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|train|2015Q2|all|candidate_total|时间切分审计.csv|14,split_audit,train,2015Q2,all,candidate_total,254,结果/01_数据审计/时间切分审计.csv,14,candidate_total,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|train|2015Q2|all|mature_positive|时间切分审计.csv|14,split_audit,train,2015Q2,all,mature_positive,157.0,结果/01_数据审计/时间切分审计.csv,14,mature_positive,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|train|2015Q2|all|mature_negative|时间切分审计.csv|14,split_audit,train,2015Q2,all,mature_negative,96.0,结果/01_数据审计/时间切分审计.csv,14,mature_negative,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|train|2015Q2|all|immature_open_case|时间切分审计.csv|14,split_audit,train,2015Q2,all,immature_open_case,1,结果/01_数据审计/时间切分审计.csv,14,immature_open_case,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|train|2015Q2|all|immature_other|时间切分审计.csv|14,split_audit,train,2015Q2,all,immature_other,0,结果/01_数据审计/时间切分审计.csv,14,immature_other,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|train|2015Q2|all|mature_total|时间切分审计.csv|14,split_audit,train,2015Q2,all,mature_total,253,结果/01_数据审计/时间切分审计.csv,14,mature_total,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|train|2015Q2|all|mature_rate|时间切分审计.csv|14,split_audit,train,2015Q2,all,mature_rate,0.9960629921259844,结果/01_数据审计/时间切分审计.csv,14,mature_rate,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|train|2015Q2|all|n|时间切分审计.csv|14,split_audit,train,2015Q2,all,n,253,结果/01_数据审计/时间切分审计.csv,14,n,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|train|2015Q2|all|positives|时间切分审计.csv|14,split_audit,train,2015Q2,all,positives,157.0,结果/01_数据审计/时间切分审计.csv,14,positives,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|train|2015Q3|all|candidate_total|时间切分审计.csv|15,split_audit,train,2015Q3,all,candidate_total,231,结果/01_数据审计/时间切分审计.csv,15,candidate_total,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
split_audit|train|2015Q3|all|mature_positive|时间切分审计.csv|15,split_audit,train,2015Q3,all,mature_positive,115.0,结果/01_数据审计/时间切分审计.csv,15,mature_positive,4d2182b2a6b381724917b4955265c5ebb3a53c71515679e369054fd0ab79412e
